actual_revenue_share,retention_case,retention_rate,banks,mean_deposit_market_size_multiplier,median_deposit_market_size_multiplier,aggregate_predicted_deposit_change_thousands,mean_deposit_asset_ratio_change
0.8,estimated_total_fsa,0.0761640174348676,4037,1.00051260964623,1.000078163778,808340.408902484,0.00043321780813134
0.85,estimated_total_fsa,0.0761640174348676,4037,1.00046023690028,1.00007115146333,728881.381924308,0.000389143881073988
0.9,estimated_total_fsa,0.0761640174348676,4037,1.00006385540963,1.00000053597219,127498.219924654,5.55717417779398e-05
