county_fips,mal_rate_increase_pct,covered_base_acres
01043,10.011439659666,19127.09
01049,10.0058262964281,73526.64
01083,10.0131088503083,327270.18
01089,10.0053461318679,330903.51
05021,10.0035346180612,1262030.67
06019,10.0263587685633,25693.89
06021,10.0314258094553,44310.97
06047,10.0147711442871,117226.7
06053,10.0007979024141,28423.15
08001,10.0516236357885,698190.462277
08005,10.0541433491157,223368.28135
08009,10.0301414237765,1111751.90972
08011,10.0343027919556,196885.26346
08013,10.0190738088915,29937.45
08017,10.0449801120152,1657199.07
08025,10.0102690843464,19038.64
08029,10.005620051115,23906.9
08039,10.0482721910319,91155.04407
08061,10.0512753216191,1615775.675
08063,10.0359859263459,3183409.2
08067,10.0440953306367,28455.7
08069,10.0119662439066,62181.40287
08071,10.0517069531605,19650.92
08073,10.0469124284269,829249.161718
08075,10.0250665459287,1030032.21
08077,10.0173155961809,9089.02
08081,10.0536509482871,23300.96
08083,10.0541859948409,104868.07
08085,10.0035934615183,19309.07
08087,10.0188272340597,895015.59
08089,10.0072833167388,125342.4
08095,10.0266763438321,1862618.42
08099,10.0368485489712,940300.772659
08105,10.0282761627907,26316
08107,10.0487947094875,19669.401356
08115,10.0329739147616,828813.97
08121,10.0416907567818,1773816.38405
08123,10.0309913964646,1129476.9641
08125,10.0158834341871,1998048.93626
10001,10.0037395827838,894257.426006
10003,10.0016349002155,269035.600707
10005,10.0046586142021,1443739.772
13033,9.96302985810771,80143.324
13069,9.96694766973995,111031.17
13147,10.0358900199936,19656.3
13163,10.0173278378349,203464.71
13167,10.0150913076584,17362.18
13193,10.0188150976824,124581.24
13211,10.0395146832107,9651.84
13219,10.0401363595225,5966.58
13261,10.0103829170688,190077.45
13297,10.0437887080644,11548.95
13301,10.022108325335,6907.71
13303,10.0204469227435,59475.38
16005,10.0389247156714,101416.99
16007,10.0397830081347,42303.89
16009,10.1138267622165,221943.5
16011,10.0504502914609,181279.92
16019,10.0339883730386,296598.56
16025,10.0176171542921,43840.69
16029,10.0161293212382,213163.44
16031,10.0416145584219,305583.12
16035,10.1526390174604,71285.47
16039,10.0290443375446,53684.75
16041,10.0332044646891,262778.43
16049,10.1955463833714,419128.33
16051,10.0272126752224,112959.28
16055,10.3192403988582,179713
16057,10.9146613440685,622858.72
16061,10.6239817449827,495889.97
16063,10.0107906276455,20483.22
16069,11.0040467965022,578587.26
16071,10.0436615118131,200987.28
16073,10.0191191744767,11572.78
16075,10.0161533781822,13018.54
16083,10.253342221786,116150.7
17027,10.0057286381297,1122721.92
17047,10.0075683082645,432414.5325
17051,10.0039972623905,1027407.31
17059,10.0044873720824,1317547.24357
17065,10.0088648449342,786967.37193
17075,10.000251451807,5548045.23592001
17079,10.0035620509941,1033350.1702
17081,10.0075860297555,635320.880000001
17085,10.0002513838314,556735.09
17087,10.0061927576364,112390.31276
17097,10.0071972812892,64089.2
17127,10.0024742263845,471733.39
17133,10.0065079545354,1310220.322133
17145,10.0086672376567,597931.5502
17151,10.005541203707,102656.54
17153,10.0058853460032,233980.33
17157,10.0107090273585,855815.475635
17163,10.0064139882899,963873.930000001
17173,10.0017015548879,2188952.456775
17177,10.0004145093182,1178269.29
17189,10.010740422277,1278813.09
17191,10.0038386371567,2311046.04
17193,10.0036146597328,1922475.06366
17201,10.0010381868049,687355.49
18015,10.0012626545863,645459.66
18023,10.0007223332719,873538.33
18029,10.0028424026184,72024.42
18031,10.0021923810856,611311.24
18037,10.0039981037726,409655.5
18061,10.0070791518705,221459.58
18071,10.0011726454382,1222586.43
18077,10.0026452989026,241931.45031
18091,10.0013400768754,1610826.37877
18093,10.0045754654758,173599.78
18123,10.0048447828417,99885.22
18145,10.0010182711336,1640111.7
18147,10.0021821835292,1077957.82
18155,10.0013064030718,61554.05
18173,10.0042055108131,348670.51
18175,10.0030591660259,380452.12
19005,10.0000237071954,574129.48914
19011,10.0000270364484,1630576.5968
19043,10.0000255051284,963359.19457
19051,10.0017369665756,375219.31
19055,10.0000352182524,1123394.75283
19061,10.0000702545441,812488.37
19065,10.0000113144781,2541434.06
19089,10.0000134676557,1003515.41
19093,10.0000144831061,1027818.2
19119,10.000009665,2349094.67
19131,10.0000254977416,1030091.23
19141,10,1458665.73
19157,10.0000357782471,1121323.8
19167,10.0000131415728,3683577.3557
19179,10.0003282803159,448076.82
19191,10.0000319069112,1038677.79
20001,10.0119467066908,416321.68
20003,10.0046986220034,1005167.94
20007,10.0550195789756,961608.02
20009,10.0321904753575,1552396.151696
20011,10.0178984244994,208644.8
20015,10.015976721003,559761.23
20019,10.02574386316,70098.78
20021,10.0088353665637,1469199.79
20023,10.0414906827626,1524763.12
20025,10.0468725444641,743987.3
20027,10.0260586555729,1642085.06
20029,10.0299471640537,2166784.32
20031,10.0068222872037,818300.95
20033,10.0453239828929,319165
20035,10.038106549875,1416075.43
20037,10.0171503701208,643680.47
20039,10.0310382429293,1805651.69
20041,10.0322346312503,1527334.23
20047,10.0187449341552,1230853.43
20053,10.0432644731595,502197.880000001
20055,10.0281464053531,2071895.28
20057,10.0339694486905,1563586.14144
20059,10.003920404424,847759.68
20063,10.0252893858261,1547285.18
20065,10.032049683218,1399842.9
20067,10.0278995654173,1864103.33
20069,10.0238783630927,2325164.84
20071,10.041559910931,1449159.92
20073,10.0135204663799,149695.99
20075,10.0325963192067,1002413.26
20077,10.0576650787315,1985074.77
20079,10.0281387149574,1771690.7
20081,10.0223171333986,1789989.52
20083,10.0381907732954,818652.63
20085,10.0051431428434,541105.99
20089,10.0212305936997,1715926.63
20093,10.0288798041056,1446913.98
20095,10.0416804594117,1177516.39
20097,10.0301128467799,1051582.51
20099,10.0194651045674,557432.398419
20101,10.0441385434898,799303.96
20103,10.0026037660018,367550.54
20105,10.0381138449689,735069.11
20107,10.0149752346764,283582
20109,10.0342407432421,1719677.68
20111,10.0126925212623,487517.97
20113,10.0380624957576,2444504.17
20115,10.0317773076778,1649067.54
20117,10.0066459575063,2323289.11
20119,10.0266591548287,1861989.94
20123,10.0389518418123,2048238.83
20125,10.0121932187796,646675.34
20127,10.0200106264525,347877.15
20129,10.0306749837276,1192490.97
20131,10.0021479380957,1841720.07
20133,10.0134690967039,433579.64
20135,10.0426001835582,925450.51
20137,10.0272755107594,1612395.65
20141,10.0257621076198,896452
20143,10.0411844580784,1555063.31
20145,10.0306352401723,1586350.87
20147,10.0239894424125,1027715.85
20149,10.0028563844872,637570.47
20151,10.0356969006875,2216586.42
20153,10.0457623553273,1955434.03
20155,10.0361090447119,2630283.99
20159,10.0323828830921,1911846.71
20161,10.0111731173026,452942.94
20163,10.0497075132555,1335776.09
20165,10.0396366617613,700444.58
20167,10.0383396021188,403621.51
20169,10.0445850093905,1553700.94
20171,10.0431819321375,1225795.91
20173,10.0338630996807,1895731.975772
20175,10.0218729392512,1402845.66
20179,10.0202777479491,2339007.01
20181,10.0401055092664,2115083.42
20183,10.0209898539316,1243465.89
20185,10.0320578132762,1981439.69
20187,10.0286708395803,1818628.56
20189,10.0189796377162,2238031.86
20191,10.0511153877176,4172264.43
20193,10.0330397111909,3297173.34
20195,10.0372489220229,649552.29
20197,10.0031993756672,426490.46
20199,10.0486060491755,1021664.52
20201,10.010924501243,1950584.83
20203,10.0327689523436,1641775.06
20205,10.0119835709481,818215.2
20207,10.0168068919546,281751.13
21003,10.0130070860412,69408.2900000001
21007,10.0105680586653,368306.15
21009,10.0077215800619,85390.5800000001
21027,10.0062817174069,213080.55
21033,10.0104048625487,262119.33
21035,10.004753867195,777088.2207
21039,10.008512543778,278033.46
21047,10.0102828531214,1194532.69
21055,10.0078966462323,131822.19
21061,10.0066229093744,44285.19
21083,10.0050367427316,1349306.32
21085,10.0056520153225,135267.68
21093,10.0029872429724,368832
21105,10.0062918231228,822970.29
21123,10.0047948836931,147274.98
21139,10.006734192236,152902.08
21141,10.0103712484728,1100398.87
21143,10.0100015411498,69104.25
21163,10.0114187425068,131219.16
21171,10.0067608117951,33882.44
21179,10.0091128509347,125692.18
21185,10.0057776008326,31899.4
