moment,data,data_standard_error,model,standardized_difference,targeted
dividend_book_equity,0.0630756241251598,0.00124793396420526,0.077636290567066,11.6678180573274,TRUE
mean_wholesale_deposit,0.0678313063699684,0.00140873684512923,0.0730284445007037,3.68921857102313,TRUE
sd_wholesale_deposit,0.0177100068216953,0.000597802337425784,0.0775654530383046,100.125814954747,FALSE
deposit_spread,0.00661506038120004,0.00013620513301053,0.0123248865135456,41.9207852607447,FALSE
loan_spread,0.030481062309775,0.00028617031619996,0.0384055939511518,27.6916618977334,FALSE
deposit_assets,0.836041936222731,0.000768758280882192,0.833191655007869,-3.70764294283837,TRUE
noninterest_cost_assets,0.0185709598693278,0.000114728989965501,0.0185748403085236,0.0338226563050034,TRUE
leverage,9.32556630705337,0.0629754552737236,9.43737623892821,1.77545253764104,TRUE
loan_deposit,0.765082873968344,0.00313626939944547,0.762650512400916,-0.775558875094777,TRUE
credit_funding_sensitivity,-10.3179077187189,4.068795768131,-11.0720924987783,-0.185358229569196,FALSE
