actual_revenue_share,retention_case,retention_rate,banks,mean_deposit_market_size_multiplier,median_deposit_market_size_multiplier,aggregate_predicted_deposit_change_thousands,mean_deposit_asset_ratio_change
0.8,estimated_naive,0.0142455184434607,3858,1.00010016486083,1.00001823952503,150302.071819679,8.46361967145567e-05
0.8,ten_percent,0.1,3858,1.00070313243584,1.00012803693387,1055083.19978817,0.000594125072039118
0.8,twenty_five_percent,0.25,3858,1.00175783108959,1.00032009233467,2637707.99947042,0.00148531268009779
0.85,estimated_naive,0.0142455184434607,3858,1.00008991470928,1.00001644616095,135440.263416714,7.60111834890851e-05
0.85,ten_percent,0.1,3858,1.00063117891873,1.00011544796361,950756.997397222,0.000533579622186214
0.85,twenty_five_percent,0.25,3858,1.00157794729682,1.00028861990903,2376892.49349305,0.00133394905546554
0.9,estimated_naive,0.0142455184434607,3858,1.00001233675766,1.00000010315804,22959.131060757,1.07330404878165e-05
0.9,ten_percent,0.1,3858,1.00008660097356,1.00000072414381,161167.395569911,7.53432774694379e-05
0.9,twenty_five_percent,0.25,3858,1.00021650243391,1.00000181035952,402918.488924778,0.000188358193673595
