market,instrument_set,observations,banks,years,mean_rate_coefficient_decimal,mean_rate_coefficient_percentage_points,random_rate_sd_decimal,contraction_iterations,valid_demand_derivatives,valid_nonnegative_markups,mean_markup,median_markup,p10_markup,p90_markup,gmm_objective
deposits,wang_supply_costs,245553,14984,32,619.802073139578,6.19802073139578,5.25,30,245553,245553,0.0016133392948926,0.0016132310739505,0.00161263819124928,0.00161375084606698,1.98678430842557e-06
deposits,all_rival_characteristics,245553,14984,32,132.119145445703,1.32119145445703,0,1,245553,245553,0.00756982126980603,0.00756902244964438,0.00756895070017887,0.0075694769417173,0.000167863691031267
total_loans,wang_supply_costs,244893,14936,32,-99.1095886780594,-0.991095886780594,0,0,244893,244893,0.0100903448366156,0.0100898914184636,0.0100898520992052,0.0100901661351073,9.12795165868138e-05
total_loans,all_rival_characteristics,227261,14065,32,-13.6485382562186,-0.136485382562186,0,0,227261,227261,0.0732715675372377,0.0732682738295743,0.0732679978680419,0.0732701697912797,0.0151758189134602
ag_production,wang_supply_costs,99028,7248,32,-64.0883894685253,-0.640883894685253,0,0,99028,99028,0.0156057755327158,0.0156043154041856,0.0156035695122475,0.0156075319264857,0.000131833008465363
ag_production,all_rival_characteristics,99027,7248,32,-10.3147697728834,-0.103147697728834,0,0,99027,99027,0.0969628061013786,0.0969537338326356,0.0969490993805813,0.096973718963453,0.0231440488007421
